Date,Abia,Abuja,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nassarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara,AVERAGE,Year on Year,Month on Month
2016-01-01,129.3,99.6,93.5,120,119.8,117.3,96.1,121.7,96.4,115.2,98.5,132.1,100.3,106.1,128.3,99.9,131,104.7,95.7,99.1,95.5,117.1,127.1,112.6,91.1,120.5,112.3,92.5,120.1,100.5,91.5,147.5,102.5,110.5,120.7,96.8,91.6,109.6,5.7,-8.4
2016-02-01,112.2,92.7,111.7,102.5,100.4,94.2,120.1,104.8,87.9,116.7,87.5,104.5,86.5,96.6,101.4,97.4,102.2,98.8,90.6,90.4,88,111.8,111.3,98.8,87,99.1,94,86.5,102.8,89.7,87.2,93.1,106.7,111.8,111.7,122.9,90,99.8,7.3,-9
2016-03-01,148.1,104.9,133.5,148,136.5,156.7,146,131.7,87,160.4,132.1,155,129.7,127.5,144.6,151.7,144,143.1,139.8,124.3,155.6,139.8,148.5,134.3,90.1,166.7,121.6,115,124.5,109.8,111.2,123.5,133.7,160,153.3,145.5,143.2,135.7,30.7,36
2016-04-01,191.7,107,138.5,180,193.9,128.6,186.3,134.5,179.3,167.8,178.1,166.4,194.3,202.8,178.1,182.2,203.5,170.6,146.3,165.1,129.4,165.2,182,189.6,92.6,172,150.9,163.5,185.5,193.9,113.7,133.4,174.3,168.3,117.1,183.8,114.5,162.8,56.4,20
2016-05-01,149.3,145,145,146.3,147.1,151.3,161.7,162.3,152.1,157.5,147.9,165,146.3,156.4,149.4,149.4,147.2,145.3,144.6,145,148.4,147.3,148.5,156.7,144.8,160.6,145,145.9,146.2,145.3,145.2,145,150,147.1,161.1,164.2,145,150.3,27,-7.7
2016-06-01,147.9,145,156.7,145.7,145.5,145,152.2,146,173,151.7,145.6,151.7,145,145.3,150.4,149.4,146.1,145.4,145.6,145,144.9,151,148.9,151.9,145,151.7,145,145,145.6,145,144.9,148.8,148.5,145,160,152.3,144.5,148.5,32.5,-1.2
2016-07-01,152.3,145,145,157.8,147.3,145.1,165.7,148.3,144.3,152.2,144.8,147.1,145,145.2,145.5,145,145.9,145,142,144.6,144.8,152.8,146,148.8,145,155.4,145.6,145.3,144.9,143.7,144.1,145,151.5,145,162.8,145,145,147.7,37.6,-0.6
2016-08-01,147.2,145,145,146,149.6,146.4,164.3,145,143.8,144.6,144.9,147.9,145,144.7,150,148.3,145.9,144.7,152.3,145,144.5,153.2,155,145,145,154.4,146.8,145,144.9,144.6,144.5,144.4,147.7,151.9,143.3,148.3,144.7,147.3,40.9,-0.3
2016-09-01,147.1,143.3,145,142.5,144.5,146.7,147.2,146.4,148.5,154.6,143.7,147.6,145,144.6,148.7,145.6,146.1,144.5,151.8,145,144.7,148,150.4,146.5,144.3,147,146.3,144.3,144.5,143.4,144.7,146.4,147.3,145,146.5,151.7,145.3,146.3,53.8,-0.6
2016-10-01,148.3,146.3,145,146.3,145.9,145,147.3,145.9,147.2,146.4,144.6,147,145,145,145.8,144.7,145.9,146.5,145.9,146,144.8,146.6,147.3,145,144.9,148.5,145.9,145,144.9,144.3,145.3,144.5,146.9,145,145.7,150,145.5,145.9,56.1,-0.3
2016-11-01,146.8,144.6,146.3,145.9,145.2,148.9,146,148.7,144,150.4,145.9,147.2,145,144.9,147.1,145,145.9,144.3,147.6,145.6,143.8,149.3,146.5,149.1,144.3,148.6,146.4,145,144.9,144.6,144.4,145,147,145,150.8,162,145.5,146.7,27.2,0.5
2016-12-01,147.1,145,145,143.8,147.9,147.2,151.5,145,145,148.8,144.8,148.6,145.5,144.9,150,145,145.7,144.5,145,148.5,145.5,151.5,150,151.6,144.3,150,146.7,145.9,145,144.4,143.9,145,145.1,146.4,150,148.8,145.3,146.7,22.7,0.01
2017-01-01,148.6,144.2,145,145.9,145.7,149.2,153.3,145.5,164.1,145,145.4,156.5,147,144.6,148.3,145,144.6,151,148.3,145.8,147.8,146.9,144.7,145.2,152.1,145.1,147,152,155,156.1,161,146.1,145,155,146.9,147,145.7,148.7,35.7,1.35
2017-02-01,147.5,145,145,150,147.3,148.9,155,157.5,157.1,150.9,144.8,156.7,148.1,145,150.2,145,149.1,147.9,145.6,145,145.6,154.4,152,145.7,144.9,147,145.5,145,145.2,144.7,145.1,147.9,151.1,162.1,161.7,177,146.4,149.8,50.1,0.7
