Date,Abia,Abuja,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nassarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara,STATES' AVERAGE,Month-on-Month,Year-on-Year
2016-01-01,152.59,158,147,156.25,146.92,178,180,160,167,169.17,142.5,160.71,154.44,155.42,150.35,155.19,151.43,162.5,163.64,153.6,145.5,200.77,166.33,160.33,149.38,162.5,187,146.79,156,150,148.44,152.5,155.14,223.13,175,133.33,153.75,160.29,-2.42,
2016-02-01,146.76,145,145,140,133.33,152.5,160,152,168.25,160,148.67,147.86,143.21,155,140.14,120,146.88,142.69,151.88,144.56,143.13,155.5,152.14,142.67,155.25,161.5,164.17,140.38,145.56,141.18,139.83,138,160,132.5,160,140,152.5,147.78,-7.8,
2016-03-01,141.25,160,147.18,141,126,145,188.57,135,155,153.57,135.83,148.57,135.5,151.47,136.3,142.78,141.79,146.43,143.13,149.5,135,212.78,152,153.57,143.44,161.11,151,135,138.57,132.69,134.5,134,153.33,146,138.33,110,154,146.19,-1.08,
2016-04-01,144.41,155,132.5,141.67,130.67,157,174.29,167,165,202.86,137,152.83,142.5,151.2,139,146.27,148.17,160.83,162.5,147.89,150.5,192.27,135,135,147.37,152.78,169,129.62,142.37,126,130.67,175.8,161.67,150,165,155,153.08,152.15,4.08,
2016-05-01,141.88,142.22,145,145,130.67,135,150,150,165,188.13,138.75,145,140,145.83,136.11,141.68,137.94,144.62,156.67,155.14,140,187.78,152.5,146,143.25,167.69,179.38,132.5,150.33,129.17,140,150,160,143.33,145,155,149.38,148.81,-2.2,
2016-06-01,179.47,178.75,180,181.43,177.67,185.71,192.5,166.67,221.67,181.11,180,180,179.62,175,185,180,175.24,186.36,178.57,186.67,194,200,180,185.21,175.56,183.64,188.33,172.86,177.5,181,181.05,181.88,191.11,180,200,183.33,179.33,183.41,23.25,20.72
2016-07-01,201.25,204,205,202.5,200,205,200.63,202.86,225,202.86,203.75,202.86,200,204.41,201.39,205,200.5,201.67,203.18,202.5,211.11,229.09,201.25,223.33,202.14,205,204.29,207.15,206.25,206,207.5,201.25,200,203,249,205,206.54,206.55,12.61,41.89
2016-08-01,190.36,194,190,192,192.5,192.14,192.88,210,195,198.64,197.31,192.43,200.45,198.33,199.29,198.5,202.14,198,192.92,202.5,195.22,194.55,190,202,194.47,208.89,197.14,198.46,191.58,203.53,197.89,197.71,194.4,188.67,191.2,189.6,206.82,196.53,-4.85,29.69
2016-09-01,195.23,189.5,193.75,200,185,198.33,186.67,210,201.25,187.78,183.18,185,193.08,197.37,193.21,180,196.82,196.07,198.08,198.33,184.88,199.38,196.67,198.89,188.11,196.57,198,183.46,185.67,192,194.44,203.33,186.67,180.56,188.33,175,209.09,192.69,-1.95,25.87
2016-10-01,190.36,180,180,188.57,183.67,181.67,189.55,189.17,192,185.26,187.73,190,188.23,193.3,190.94,185,192.73,189.64,192.17,191,191.5,192,181.82,193.34,187,183,183.89,186.69,181.13,191.35,188.06,178.13,183.81,187.14,180,191.67,186.92,187.25,-2.82,23.05
2016-11-01,192.79,182.5,193.5,197.5,190.15,187,202.86,202.14,206.25,188.64,182.92,193.33,194.17,196.11,196.07,200,195.43,191.25,194.58,200.5,195.5,208.64,186.25,187.86,195.59,195,188,199.87,201.5,197.94,197.39,190,220,195,188,200,205.63,195.67,4.49,19.92
2016-12-01,202.14,180,185,199.55,191.79,185.83,203.75,190,197.5,209.09,198.08,197.86,206.18,195.94,198.44,180,197.4,197.69,190,207.5,202.22,210.42,186,191.67,196.58,196.43,190,204.09,206.67,203.57,203.53,182.5,210,187.5,185,180,211.43,196.25,0.3,19.48
2017-01-01,237.5,270,230.5,247.5,235.45,232.5,270,254.17,230.91,256.36,256.77,240.77,237.78,242.56,230.78,233.33,246.11,238.5,236.88,231.25,252.19,235.83,235.38,238.33,230,237.78,233.33,238.33,233,255,230,239,241.71,239.17,230,236.88,233.75,240.52,22.56,50.06
2017-02-01,248.08,252,280,260,249.55,226,250,255.71,271,250,253.75,272.5,261.25,244.71,250.28,256.67,259.17,243,228.5,255,237,240.71,250,253.33,252.19,251.25,248.57,245.38,248.33,220,226.67,245,250,248.33,255.18,250,237.86,249.38,3.68,68.74
