"city_state","num_projects","parent_category","statAmount"
"Akron OH",7,"Art",0
"Akron OH",1,"Comics",0
"Akron OH",3,"Crafts",0
"Akron OH",7,"Design",0
"Akron OH",2,"Fashion",0
"Akron OH",9,"Film & Video",0
"Akron OH",6,"Food",0
"Akron OH",3,"Games",0
"Akron OH",14,"Music",0
"Akron OH",4,"Publishing",0
"Akron OH",6,"Technology",0
"Albany NY",4,"Art",1
"Albany NY",7,"Comics",0
"Albany NY",1,"Crafts",0
"Albany NY",3,"Dance",0
"Albany NY",3,"Design",1
"Albany NY",3,"Fashion",0
"Albany NY",19,"Film & Video",0
"Albany NY",1,"Food",1
"Albany NY",12,"Games",0
"Albany NY",52,"Music",1
"Albany NY",2,"Photography",0
"Albany NY",12,"Publishing",0
"Albany NY",2,"Theater",1
"Albuquerque NM",27,"Art",0
"Albuquerque NM",7,"Comics",0
"Albuquerque NM",3,"Crafts",0
"Albuquerque NM",6,"Dance",0
"Albuquerque NM",5,"Design",1
"Albuquerque NM",3,"Fashion",1
"Albuquerque NM",50,"Film & Video",0
"Albuquerque NM",8,"Food",0
"Albuquerque NM",26,"Games",0
"Albuquerque NM",41,"Music",0
"Albuquerque NM",2,"Photography",0
"Albuquerque NM",21,"Publishing",0
"Albuquerque NM",10,"Technology",0
"Albuquerque NM",16,"Theater",0
"Amherst MA",3,"Art",0
"Amherst MA",1,"Comics",0
"Amherst MA",6,"Dance",0
"Amherst MA",16,"Film & Video",0
"Amherst MA",2,"Food",0
"Amherst MA",20,"Music",0
"Amherst MA",1,"Photography",0
"Amherst MA",10,"Publishing",0
"Amherst MA",7,"Theater",0
"Anaheim CA",3,"Art",0
"Anaheim CA",5,"Comics",0
"Anaheim CA",2,"Crafts",0
"Anaheim CA",1,"Design",1
"Anaheim CA",3,"Fashion",0
"Anaheim CA",6,"Film & Video",0
"Anaheim CA",4,"Food",0
"Anaheim CA",18,"Games",1
"Anaheim CA",13,"Music",0
"Anaheim CA",1,"Photography",0
"Anaheim CA",2,"Publishing",1
"Anaheim CA",1,"Theater",1
"Anchorage AK",10,"Art",0
