"city_id","city_state","latitude","longitude","population","bounding_box"
1,"New York NY",40.706577301026,-73.882373809815,8550405,"---\n- -74.287002563477\n- 40.409755706787\n- -73.477745056152\n- 41.003398895264\n"
2,"Los Angeles CA",34.018239974976,-118.396377563475,3884307,"---\n- -118.68238067627\n- 33.695030212402\n- -118.11037445068\n- 34.341449737549\n"
3,"San Francisco CA",37.777643203736,-122.447261810305,837442,"---\n- -122.56141662598\n- 37.685516357422\n- -122.33310699463\n- 37.869770050049\n"
4,"Chicago IL",41.840885162354,-87.729518890381,2719000,"---\n- -87.982803344727\n- 41.607227325439\n- -87.476234436035\n- 42.074542999268\n"
5,"Seattle WA",47.612010955811,-122.305038452145,652405,"---\n- -122.46631622314\n- 47.40340423584\n- -122.14376068115\n- 47.820617675781\n"
6,"Portland OR",45.538421630860,-122.666431427005,609456,"---\n- -122.89488220215\n- 45.399112701416\n- -122.43798065186\n- 45.677730560303\n"
7,"Boston MA",42.332338333130,-71.045619964600,645966,"---\n- -71.200416564941\n- 42.206142425537\n- -70.890823364258\n- 42.458534240723\n"
8,"Austin TX",30.326808929443,-97.758968353272,885400,"---\n- -97.938652038574\n- 30.107877731323\n- -97.579284667969\n- 30.545740127563\n"
9,"Nashville TN",36.191211700440,-86.792076110840,659042,"---\n- -87.056602478027\n- 35.970085144043\n- -86.527549743652\n- 36.412338256836\n"
10,"Philadelphia PA",40.013805389405,-75.123245239258,1553000,"---\n- -75.305595397949\n- 39.853588104248\n- -74.940895080566\n- 40.174022674561\n"
11,"Minneapolis MN",45.023744583130,-93.264568328858,400070,"---\n- -93.440948486328\n- 44.84029006958\n- -93.088188171387\n- 45.20719909668\n"
12,"San Diego CA",32.805479049683,-117.112926483150,1356000,"---\n- -117.32033538818\n- 32.509761810303\n- -116.90551757812\n- 33.101196289062\n"
13,"Atlanta GA",33.813949584961,-84.415809631348,447841,"---\n- -84.592147827148\n- 33.571758270264\n- -84.239471435547\n- 34.056140899658\n"
14,"Washington DC",38.920152664185,-76.995414733886,658893,"---\n- -77.131103515625\n- 38.780132293701\n- -76.859725952148\n- 39.060173034668\n"
15,"Denver CO",39.773494720459,-104.897109985355,649495,"---\n- -105.21083068848\n- 39.590194702148\n- -104.58338928223\n- 39.95679473877\n"
16,"Oakland CA",37.814783096314,-122.252685546875,406253,"---\n- -122.38859558105\n- 37.696182250977\n- -122.1167755127\n- 37.93338394165\n"
17,"Dallas TX",32.832572937012,-96.799346923828,1258000,"---\n- -97.038223266602\n- 32.59708404541\n- -96.560470581055\n- 33.068061828613\n"
18,"Pittsburgh PA",40.432306289673,-79.953876495362,305841,"---\n- -80.130020141602\n- 40.329795837402\n- -79.777732849121\n- 40.534816741943\n"
19,"Salt Lake City UT",40.729885101319,-111.833744049070,191180,"---\n- -112.16431427002\n- 40.539836883545\n- -111.50317382812\n- 40.919933319092\n"
20,"Baltimore MD",39.285652160645,-76.620155334473,622104,"---\n- -76.756240844727\n- 39.163410186768\n- -76.484069824219\n- 39.407894134521\n"
21,"New Orleans LA",30.015501976013,-89.948886871338,378715,"---\n- -90.177154541016\n- 29.861404418945\n- -89.72061920166\n- 30.169599533081\n"
22,"Phoenix AZ",33.583984375000,-112.106609344485,1513000,"---\n- -112.35758209229\n- 33.267467498779\n- -111.85563659668\n- 33.900501251221\n"
23,"Houston TX",29.856493949890,-95.417060852051,2196000,"---\n- -95.853569030762\n- 29.484748840332\n- -94.98055267334\n- 30.228239059448\n"
24,"Orlando FL",28.490674972534,-81.356910705566,255483,"---\n- -81.62215423584\n- 28.307252883911\n- -81.091667175293\n- 28.674097061157\n"
25,"Detroit MI",42.354639053345,-83.102840423584,688701,"---\n- -83.319839477539\n- 42.229080200195\n- -82.885841369629\n- 42.480197906494\n"
26,"St. Louis MO",38.635620117188,-90.308238983154,315685,"---\n- -90.472457885742\n- 38.498741149902\n- -90.144020080566\n- 38.772499084473\n"
27,"Columbus OH",39.995920181275,-82.974956512451,850106,"---\n- -83.167251586914\n- 39.839385986328\n- -82.782661437988\n- 40.152454376221\n"
28,"Miami FL",25.788707733155,-80.250251770020,441003,"---\n- -80.440383911133\n- 25.558006286621\n- -80.060119628906\n- 26.019409179688\n"
29,"Kansas City MO",39.075366973877,-94.575485229492,475378,"---\n- -94.767425537109\n- 38.827823638916\n- -94.383544921875\n- 39.322910308838\n"
30,"Las Vegas NV",36.159383773804,-115.184368133545,623747,"---\n- -115.40588378906\n- 35.944103240967\n- -114.96285247803\n- 36.374664306641\n"
31,"Tucson AZ",32.180599212647,-110.891246795655,531641,"---\n- -111.07669830322\n- 32.035182952881\n- -110.70579528809\n- 32.326015472412\n"
32,"Cleveland OH",41.501890182495,-81.654659271240,388072,"---\n- -81.908996582031\n- 41.340358734131\n- -81.400321960449\n- 41.663421630859\n"
33,"San Jose CA",37.319139480591,-121.849975585935,1026908,"---\n- -122.05451965332\n- 37.126987457275\n- -121.64543151855\n- 37.511291503906\n"
34,"Boulder CO",40.035774230957,-105.282112121585,107349,"---\n- -105.43853759766\n- 39.914772033691\n- -105.12568664551\n- 40.156776428223\n"
35,"Cincinnati OH",39.133911132813,-84.538906097412,298550,"---\n- -84.732940673828\n- 39.022441864014\n- -84.344871520996\n- 39.245380401611\n"
36,"Providence RI",41.825307846070,-71.407291412354,179207,"---\n- -71.495063781738\n- 41.756118774414\n- -71.319519042969\n- 41.894496917725\n"
37,"Sacramento CA",38.596345901490,-121.417602539065,490712,"---\n- -121.5799407959\n- 38.43278503418\n- -121.25526428223\n- 38.759906768799\n"
38,"Indianapolis IN",39.783233642578,-86.151756286621,853173,"---\n- -86.367218017578\n- 39.606479644775\n- -85.936294555664\n- 39.959987640381\n"
39,"Milwaukee WI",43.053672790528,-87.946819305420,600155,"---\n- -88.095008850098\n- 42.903877258301\n- -87.798629760742\n- 43.203468322754\n"
40,"Madison WI",43.056749343872,-89.414928436279,248951,"---\n- -89.571411132812\n- 42.928966522217\n- -89.258445739746\n- 43.184532165527\n"
41,"Richmond VA",37.506361007691,-77.448028564453,220289,"---\n- -77.617889404297\n- 37.349674224854\n- -77.278167724609\n- 37.663047790527\n"
42,"Berkeley CA",37.879423141480,-122.288604736330,120972,"---\n- -122.37190246582\n- 37.821350097656\n- -122.20530700684\n- 37.937496185303\n"
43,"Savannah GA",32.049282073975,-81.098953247070,145674,"---\n- -81.184677124023\n- 31.936721801758\n- -81.013229370117\n- 32.161842346191\n"
44,"Tampa FL",27.999587059021,-82.477714538575,369075,"---\n- -82.693916320801\n- 27.816608428955\n- -82.261512756348\n- 28.182565689087\n"
45,"Grand Rapids MI",42.9634,-85.6681,195097,"---\n- -85.749450683594\n- 42.866069793701\n- -85.533027648926\n- 43.041103363037\n"
46,"Raleigh NC",35.787322998047,-78.625759124756,451066,"---\n- -78.805961608887\n- 35.570526123047\n- -78.445556640625\n- 36.004119873047\n"
47,"Ann Arbor MI",42.271152496338,-83.733390808106,117070,"---\n- -83.88459777832\n- 42.182922363281\n- -83.582183837891\n- 42.359382629395\n"
48,"Rochester NY",43.174661636353,-77.610042572022,209802,"---\n- -77.709053039551\n- 43.073902130127\n- -77.511032104492\n- 43.275421142578\n"
49,"Charlotte NC",35.225978851319,-80.826972961426,827097,"---\n- -81.031806945801\n- 34.999031066895\n- -80.622138977051\n- 35.452926635742\n"
50,"Provo UT",40.258039474487,-111.653549194335,115264,"---\n- -111.74674987793\n- 40.173198699951\n- -111.56034851074\n- 40.342880249023\n"
51,"Cambridge MA",42.379587173462,-71.117202758789,110402,"---\n- -71.177726745605\n- 42.345428466797\n- -71.056678771973\n- 42.413745880127\n"
52,"Asheville NC",35.548343658448,-82.555904388428,87236,"---\n- -82.647743225098\n- 35.431510925293\n- -82.464065551758\n- 35.665176391602\n"
53,"St. Paul MN",44.907003402710,-93.090122222901,294873,"---\n- -93.24715423584\n- 44.786880493164\n- -92.933090209961\n- 45.027126312256\n"
54,"Albuquerque NM",35.095998764038,-106.580200195315,559121,"---\n- -106.81017303467\n- 34.943714141846\n- -106.35022735596\n- 35.24828338623\n"
55,"San Antonio TX",29.466041564942,-98.507839202881,1469845,"---\n- -98.755653381348\n- 29.232334136963\n- -98.260025024414\n- 29.69974899292\n"
56,"Portland ME",43.649669647217,-70.270099639892,66318,"---\n- -70.39249420166\n- 43.568519592285\n- -70.147705078125\n- 43.730819702148\n"
57,"Santa Cruz CA",37.402074813843,-122.194534301755,62864,"---\n- -122.46185302734\n- 36.523571014404\n- -121.92721557617\n- 38.280578613281\n"
58,"Durham NC",35.976833343506,-78.912662506104,257636,"---\n- -79.064994812012\n- 35.828548431396\n- -78.760330200195\n- 36.125118255615\n"
59,"Honolulu HI",21.444651603699,-157.879631042480,352769,"---\n- -158.11016845703\n- 21.223461151123\n- -157.64909362793\n- 21.665842056274\n"
60,"Boise ID",43.603206634522,-116.216068267825,218281,"---\n- -116.36724853516\n- 43.511695861816\n- -116.06488800049\n- 43.694717407227\n"
61,"Louisville KY",38.228870391846,-85.729377746582,615366,"---\n- -85.849227905273\n- 38.146385192871\n- -85.609527587891\n- 38.31135559082\n"
62,"Black Rock City NV",40.665184020996,-119.344482421875,70000,"---\n- -119.40619659424\n- 40.605613708496\n- -119.28276824951\n- 40.724754333496\n"
63,"Long Beach CA",33.785112380982,-118.182636260985,474140,"---\n- -118.28567504883\n- 33.697635650635\n- -118.07959747314\n- 33.872589111328\n"
64,"Burlington VT",44.482067108155,-73.246837615967,42284,"---\n- -73.32103729248\n- 44.427589416504\n- -73.172637939453\n- 44.536544799805\n"
65,"Buffalo NY",42.906599044800,-78.830677032471,258071,"---\n- -78.940200805664\n- 42.789604187012\n- -78.721153259277\n- 43.023593902588\n"
66,"Santa Barbara CA",34.432859420776,-119.699863433835,90412,"---\n- -119.76951599121\n- 34.388706207275\n- -119.63021087646\n- 34.477012634277\n"
67,"Charlottesville VA",38.064289093018,-78.484169006348,44349,"---\n- -78.570007324219\n- 37.97696685791\n- -78.398330688477\n- 38.151611328125\n"
68,"Charleston SC",32.800279617310,-79.970191955566,132609,"---\n- -80.072952270508\n- 32.680038452148\n- -79.867431640625\n- 32.920520782471\n"
