State,Limestone,Laterite,Granite,Sand,Clay,Coal,Feldspar,Mica,Granite Dust,Marble,Tin,Columbite,Granite Block(m3),Lead/Zinc,Baryte,Zircon,Zircon Sand,Amethyst,Talc,Tin Ore(Cassiterite),Granite Aggregate,Topaz,Tourmaline,Sapphire,Wolframite,Gold,Kaolin,Coltan,Garnet,Basalt,Beryl Ore,Silica Sand,Quartz,Manganese,Tantalite,Aquamarine,Dolomite,Bentonite,IronOre,Gypsum,Shale,Sand Stone,TOTAL
Abia,,"3,333.40","276,354.27","6,250.00","18,320.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"304,257.67"
Adamawa,,"15,536.00","40,246.02",,,,,,"3,873.00",,,,,,,,,,,,,,,,,,,,,"1,400.00",,,,,,,,,,,,,"61,055.02"
Akwa-Ibom,,"90,691.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,691.00"
Anambra,,"13,366.68",666.67,"142,025.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,058.35"
Bauchi,,"3,350.00",,"1,150.00",,,,,"13,782.60",,5,,155.84,,,,,,,,"73,280.25",,0.001,,,,666.6,,,,,,,,,,,,,,,,"92,390.29"
Bayelsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
Benue,"1,353,679.46","253,731.56","137,655.08","15,136.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,760,202.40"
Borno,,,,"1,250.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250.00"
Cross River,"2,340,387.00",,"657,291.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,997,678.73"
Delta,,"28,895.02",445,"103,503.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,"132,876.02"
Ebonyi,,,"691,533.04",,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691,843.04"
Edo,"305,616.70",,,"98,244.00","86,400.00",,,,"26,059.40",800,,,,,,,,,,,"209,266.11",,,,,,798,,,,,,,,,,"9,835.00","3,200.00",,,,"10,750.00","750,969.21"
Ekiti,,,"105,791.66","10,009.25",,,"1,666.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,467.58"
Enugu,,"13,333.34",,"1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,833.34"
Fct,,"19,065.50","1,330,732.65",,"47,220.00",,,,"633,071.82",,,,,,,,,,,,,,,,,0.002835,,,,,,,,,,,,,,,,,"2,030,089.97"
Gombe,"778,147.00","18,200.00","34,819.63","5,250.00",,"77,364.60",,,"3,068.00",,,,,368.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"917,217.90"
Imo,,"5,308.00",,"12,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,808.00"
Jigawa,,"40,166.73","41,750.49",,,,,,"2,489.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,406.81"
Kaduna,,"68,529.52","74,095.09","40,342.75",,,,,,,,,347.13,,,,,,,,,,,,,0.0008505,,,,,0.000003,,,,,,,,,,,,"183,314.49"
Kano,,"58,050.06","107,375.85","18,302.00",,,,,,,,,,,,,,,,,,,,,,0.003969,,,,,,,,,,,,,,,,,"183,727.91"
Katsina,,"45,172.05","28,309.32","11,880.00",,,,,,,,,,,,,,,,,,,,,,,480,,,,,"3,750.09",0.003,,,,,,,,,,"89,591.46"
Kebbi,,"21,540.00","6,666.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,129.99",,,,,665,,,,"81,001.66"
Kogi,"9,465,009.24","740,356.03","14,195.68","27,662.50","1,568,195.49","911,764.19","12,110.52",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,739,318.65"
Kwara,,"4,500.00","42,200.05","7,875.00",,,,,800,"2,066.66",1,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,443.75"
Lagos,,,,"548,246.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"548,246.23"
Nasarawa,,"25,590.00","21,642.19","6,625.00",,26.67,,,"9,394.63","6,466.69",,131.57,"1,853.50",167,472.04,,891.19,0.1,,,,,,,,,,,,,,,,,,,,,,,,,"73,260.57"
Niger,,"20,558.80","20,322.69","6,575.70",,,,,"3,025.93",,,,,,,,,,666.67,,,,,,,0.0060605,,,,,,,,,,,,,,,,,"51,149.80"
Ogun,"13,338,601.73","488,333.46","1,103,133.95","15,425.00","79,286.26",,"11,966.67",,,,,,,,,,,,,,,,,,,,"22,000.00",,,,,,,,,,,,,,"1,317,800.43",,"16,376,547.50"
Ondo,,"9,066.60",,"112,276.99",,,,,,,,,,,,,,,,,"655,065.24",,,,,,,,,,,,,,,,,,,,,,"776,408.83"
Osun,,"47,933.30","33,985.59","35,925.00",,,,,,,,,,,,,,,,,,,,,,0.001575,,,,,,,,,,,,,,,,,"117,843.89"
Oyo,,"15,165.77","958,283.11",,,,"8,400.00",,,"10,784.17","1,147.74",131.5,,,,,,,,,,,0.053,,,,,,,,,,,,,0.00004,,,,,,,"993,912.35"
Plateau,2.77,"84,031.05",,725,,,,54,,,,,,"8,782.20",25,0.061,,5.07,,"2,288.92","8,961.19",5.54,0.001,0.002,"5,750.00",0.0000284,160,4,0.375,,,,,,,,,,,,,,"110,795.18"
Rivers,,"3,333.34",,"41,267.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,600.84"
Sokoto,"623,079.00","3,518.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,"627,317.00"
Taraba,,"17,597.90","41,212.49","5,900.00",,,,,,,,,,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,780.39"
Yobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883.08,,,,883.08
Zamfara,,"2,484.50","77,659.16","5,500.00",,,,,,,,,,,,,,,,,,,,,"13,335.30",0.00774,,,,,,,,,"2,830.22",,,,,,,,"101,809.19"
