"project_id","backers_count","x_coor","y_coor","city_id","parent_id","sub_id"
1955357092,219382,-189.25,-212.07,2,9,136
557230947,105857,-47.73,202.35,2,14,151
1755266685,91585,54.42,19.43,12,7,93
1929840910,87142,-119.69,118.50,3,9,148
1799979574,78471,-50.78,-33.12,92,5,113
458565935,73986,-47.97,-27.50,96,9,148
506924864,68929,8.35,7.77,92,5,113
1494516688,63758,16.41,-44.52,17,9,136
1033978702,63416,-88.50,-275.21,2,9,64
342886736,62642,-76.22,29.92,6,5,113
1454565733,48270,52.47,-6.20,11,7,139
1871494789,46520,167.11,75.50,2,7,93
565687737,44949,-83.26,-109.83,4,5,113
275698538,42713,-17.97,-49.48,37,9,148
1552929469,39560,-40.32,40.67,16,14,68
577817754,36781,-52.61,85.55,3,14,68
1920909267,34565,-12.21,-176.79,4,9,136
1867183224,34397,-250.29,-165.25,2,9,148
1639484648,31774,-0.63,141.20,3,9,148
145912648,30546,33.45,-54.43,8,9,136
1050138201,28818,213.14,60.07,1,5,113
101767263,26457,-65.74,-73.51,7,14,68
823772473,24883,-73.99,45.00,7,11,90
97277862,24346,-27.26,-61.92,28,9,148
746498917,24150,28.70,-252.11,2,9,148
721748605,23999,66.24,-151.96,2,7,93
1653584458,23626,37.59,-71.44,12,5,113
1529428631,23331,-24.10,-20.70,113,14,133
785289599,22844,15.18,9.94,33,9,148
132311747,22361,62.80,-28.37,13,9,136
1156271755,22322,-102.29,-80.87,8,9,148
1719494931,22195,-25.56,-6.51,93,9,148
192882728,21808,-51.54,14.37,51,13,120
1928575021,21412,-142.51,-300.52,1,14,58
1045500705,20915,8.86,7.34,13,9,136
2132211052,20242,-3.26,-288.39,1,13,120
1803366943,20042,-91.28,-26.87,8,9,148
27174402,19349,127.36,-26.91,3,14,138
2130407780,18604,-38.31,-30.97,143,14,138
405324430,18558,-49.01,-245.50,2,9,148
1152735261,18220,107.32,69.91,3,14,132
142985209,18209,200.12,-143.14,1,7,6
728438726,17765,-2.72,-56.03,96,9,148
768428035,17744,-42.37,-29.35,82,9,63
1648823174,17739,-54.77,10.88,26,9,136
1966069095,17614,-2.08,-138.49,5,14,133
617487840,17218,-54.18,-17.37,33,14,62
919996644,17029,-204.77,-144.76,3,5,113
474144967,16936,-3.75,-105.96,8,9,148
451052891,16850,-99.73,-145.91,1,7,40
147109898,16459,53.31,-118.23,3,5,113
710638750,16408,15.16,2.71,37,9,148
443600622,16335,-5.26,-16.58,12,5,113
95124697,16180,52.99,23.85,3,14,138
838978564,16038,8.43,-2.00,30,9,136
1576182728,15623,-170.48,104.69,3,9,148
127494612,14964,-14.26,5.10,82,9,136
193329107,14952,-67.28,-76.77,10,2,27
1440273912,14884,0.63,0.81,57,5,144
1121258628,14749,90.77,-254.87,2,9,148
1947034016,14579,-55.95,-51.66,22,9,136
1842403099,14242,-41.23,-84.97,17,7,6
386179120,14175,-46.84,-74.23,8,9,148
131105520,14112,-5.50,-64.43,51,9,148
2091726955,14081,43.75,-102.42,8,9,148
1305329386,13876,-33.30,26.38,17,9,148
797546800,13765,28.14,44.89,5,9,136
1304249523,13647,-105.86,-218.15,2,9,148
738065144,13642,-198.34,180.22,1,6,53
195314440,13512,70.80,-73.93,4,5,113
1194924825,13465,3.56,-32.46,82,9,136
836468866,13454,-262.19,82.93,2,13,20
474140712,13263,-67.78,92.46,5,5,113
323562295,13116,-78.52,-302.96,1,8,59
324708063,12798,-41.80,-55.07,25,9,136
41181241,12626,-230.42,10.34,3,14,17
1873918829,12578,-125.72,-77.63,3,14,62
1941968078,12557,-121.24,-215.44,3,8,59
170672682,12553,120.67,-267.99,1,8,59
1668263241,12521,77.76,36.96,6,5,113
1420270001,12457,-90.75,-102.23,7,9,148
1936815285,12218,-1.30,-17.71,87,9,148
263239619,12187,-5.37,-20.65,5,9,136
1412753497,12011,-34.77,-51.47,13,9,136
1408189919,11749,76.91,218.69,1,6,53
1203243797,11693,-22.84,-231.86,3,13,120
1712444486,11686,7.59,18.55,11,7,25
971891494,11617,-89.01,39.49,12,9,148
1270104074,11611,-142.88,41.52,5,9,148
310731843,11483,37.82,-14.99,22,9,136
1188330700,11406,1.23,29.78,4,5,113
1197252115,11334,-16.13,76.99,8,5,66
1293573522,11281,53.74,-307.49,1,14,9
1890358928,11169,209.94,-29.63,2,11,69
1101572780,11124,-30.21,-50.38,57,14,39
1869942487,10992,-43.36,-44.10,51,5,113
918682713,10926,114.55,167.07,1,5,113
731507691,10877,0.15,-56.04,31,9,136
51884825,10862,-62.51,1.43,13,9,136
1911111579,10809,-6.06,-33.77,69,9,148
1653048335,10666,-193.81,-256.89,2,9,136
2069981750,10613,-91.71,-115.24,2,7,56
108427247,10508,-81.95,-212.29,3,8,59
658110891,10477,-70.45,7.28,92,14,68
1590955787,10354,148.45,-197.01,2,9,148
217543389,10293,-51.04,-102.12,6,8,42
1241205786,10263,-58.49,-40.32,12,14,132
1463771136,10165,44.76,-3.52,14,11,90
794945037,10160,-9.32,-3.60,91,14,138
1376652190,10136,-98.48,-52.13,13,9,136
375709459,10096,83.91,-15.98,5,9,148
1984444511,9991,21.43,-94.88,13,9,136
95509715,9982,-14.47,-3.93,26,9,136
202091912,9825,54.23,25.72,13,9,136
76271707,9737,16.83,-285.46,2,8,59
355636922,9707,-42.79,-81.12,15,6,3
369952778,9677,-14.90,-203.87,3,13,115
29188721,9551,-127.83,-49.30,8,9,136
1919184836,9550,8.31,92.56,4,6,53
1028274367,9522,-15.88,1.48,63,9,64
122156080,9477,-77.65,24.85,14,14,133
1395148112,9455,-175.10,-133.00,3,5,113
764329578,9439,179.46,-123.73,2,7,40
1354422715,9377,-28.03,-0.33,103,9,136
1665025655,9258,-208.86,-217.27,1,13,20
1234309959,9236,61.79,94.99,3,14,138
1191700740,9226,-124.63,192.48,1,6,8
465082440,9182,73.70,170.49,2,5,113
613604274,9100,-81.10,-51.56,19,5,113
154186221,9086,14.81,-50.26,50,14,138
777237528,9069,-97.94,-124.33,5,2,27
780741783,9044,109.34,-241.10,1,13,20
952952945,9023,-118.75,26.26,5,9,148
237264329,9023,-203.16,30.35,3,14,62
1197817961,8979,-3.68,-17.51,144,9,136
1692752007,8944,47.39,-73.80,13,9,136
1214211620,8900,-177.43,-108.57,4,5,113
484507853,8897,-22.30,23.83,23,14,62
1548348982,8807,31.65,7.02,15,5,113
1349593857,8798,183.61,103.69,1,5,66
1786171130,8744,-315.11,-8.52,1,5,113
803538016,8688,-247.12,-8.64,2,7,40
984184212,8559,-141.65,-185.82,3,5,113
1761212776,8548,-15.31,-128.65,2,7,127
1520918594,8530,-18.78,-70.99,33,5,113
2128094718,8452,69.59,-284.42,1,2,27
1594395447,8448,-289.26,64.47,1,5,36
1928211075,8433,123.70,36.28,3,14,138
1168285012,8260,-131.43,124.99,2,5,113
405359979,8211,-54.02,-219.89,3,13,95
1654210825,8200,9.60,41.82,19,14,68
1413610658,8177,179.01,-165.32,2,7,56
1960389477,8164,-7.29,5.74,8,9,148
1922674077,8090,130.70,-79.07,3,5,113
344582158,8019,-36.86,-75.39,92,14,68
881278489,8018,-6.21,14.22,3,14,68
31946775,8016,27.37,-299.10,1,2,27
586555539,8015,-38.60,55.11,11,14,68
975910401,7993,-11.70,-1.32,16,9,136
9841415,7934,-10.72,-35.72,116,5,113
2103514724,7932,-225.19,96.34,1,5,113
1741873849,7902,-228.32,-82.93,3,5,36
1400983835,7857,7.70,51.62,16,14,124
167220657,7857,-54.68,111.12,4,14,138
262085884,7794,-66.79,-23.47,3,14,68
1430991164,7781,-111.83,-58.64,5,9,136
1865375738,7733,2.84,-19.16,59,5,113
72910796,7658,-108.76,-153.58,4,5,113
807185912,7576,-74.78,83.40,2,7,6
136791303,7523,-46.90,30.65,22,14,68
1122778175,7521,-308.88,80.62,1,6,53
516711935,7506,-78.69,-107.71,8,9,148
1682950821,7495,-128.23,-0.59,3,14,138
990028891,7493,-3.83,-74.95,92,14,124
491353953,7459,38.67,74.16,3,9,148
2070122346,7420,15.84,-42.23,51,9,148
814005176,7407,-33.52,254.80,1,9,136
1661513602,7372,-39.27,-22.33,18,9,148
